verbe,nb occ,interval,nb occ par interv
montrer,8956,1900-1909,494
montrer,8956,1910-1919,700
montrer,8956,1920-1929,1185
montrer,8956,1930-1939,1442
montrer,8956,1940-1949,1014
montrer,8956,1950-1959,920
montrer,8956,1960-1969,844
montrer,8956,1970-1979,637
montrer,8956,1980-1989,1055
montrer,8956,1990-1999,665
élucider,40,1910-1919,4
élucider,40,1920-1929,2
élucider,40,1930-1939,6
élucider,40,1940-1949,4
élucider,40,1950-1959,1
élucider,40,1960-1969,3
élucider,40,1970-1979,12
élucider,40,1980-1989,5
élucider,40,1990-1999,3
illustrer,270,1900-1909,16
illustrer,270,1910-1919,15
illustrer,270,1920-1929,23
illustrer,270,1930-1939,29
illustrer,270,1940-1949,30
illustrer,270,1950-1959,16
illustrer,270,1960-1969,18
illustrer,270,1970-1979,55
illustrer,270,1980-1989,44
illustrer,270,1990-1999,24
